type,source,episodes,duration,rating,studio,num_related,hentai/romance,sports,youth,adventure/psychological,drama,fantasy/sci-fi,comedy,military,misc,Unknown,class
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,2,True,False,True,False,False,True,True,False,False,False,Really good
TV,Manga,26,21-30,PG-13 - Teens 13 or older,other,4,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,51,21-30,PG - Children,other,3,False,False,True,False,False,True,True,False,False,False,Really good
TV,Original,38,1-20,PG-13 - Teens 13 or older,other,2,True,False,False,False,True,True,True,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,50,21-30,G - All Ages,other,3,False,False,True,False,False,False,False,False,False,False,Really good
TV,Manga,26,21-30,G - All Ages,other,2,True,False,True,False,False,True,True,False,False,False,Really good
TV,Light novel,24,21-30,PG-13 - Teens 13 or older,J.C.Staff,4,True,False,True,False,True,True,False,False,False,False,Really good
TV,Manga,11,21-30,PG-13 - Teens 13 or older,J.C.Staff,5,True,False,True,False,False,False,True,False,True,False,Really good
TV,Manga,26,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,3,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,26,21-30,PG-13 - Teens 13 or older,J.C.Staff,2,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,2,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,13,21-30,PG-13 - Teens 13 or older,other,2,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,366,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,False,False,True,True,False,True,True,False,False,False,Really good
TV,Manga,26,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,False,True,False,True,True,True,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,Production I.G,3,True,False,True,False,True,False,False,False,False,False,Really good
TV,Manga,500,21-30,PG-13 - Teens 13 or older,Studio Pierrot,6,False,True,True,True,False,False,True,False,False,False,Really good
TV,Manga,161,21-30,R+ - Mild Nudity,Studio Deen,4,False,True,True,False,False,True,True,False,False,False,Really good
TV,Light novel,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,5,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,26,21-30,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,True,True,False,True,True,False,False,False,False,Really good
TV,Light novel,26,21-30,PG-13 - Teens 13 or older,Studio Deen,1,False,False,True,False,False,True,False,False,True,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,Madhouse,2,True,True,True,False,True,True,False,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,TMS Entertainment,1,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,60,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,True,False,False,False,Really good
TV,Manga,39,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,True,False,True,False,True,False,False,False,False,False,Really good
TV,Manga,77,21-30,PG-13 - Teens 13 or older,other,5,False,False,True,False,False,False,True,False,False,False,Really good
TV,4-koma manga,12,21-30,R+ - Mild Nudity,other,1,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,0,21-30,PG - Children,other,4,True,False,True,False,False,False,True,False,False,False,Really good
TV,Manga,26,21-30,PG-13 - Teens 13 or older,Studio Deen,1,True,False,True,False,True,True,True,False,False,False,Really good
TV,Light novel,39,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,False,False,True,True,True,True,False,True,False,Really good
TV,Manga,0,21-30,PG-13 - Teens 13 or older,Toei Animation,6,False,False,True,True,True,True,True,False,False,False,Really good
TV,Manga,51,21-30,G - All Ages,other,3,False,False,True,False,True,False,False,False,False,False,Really good
TV,Manga,25,21-30,R+ - Mild Nudity,Toei Animation,3,True,True,True,False,False,False,True,False,False,False,Really good
TV,Light novel,39,21-30,PG-13 - Teens 13 or older,Madhouse,2,True,False,False,True,True,True,True,False,True,False,Really good
TV,Manga,167,21-30,PG-13 - Teens 13 or older,Sunrise,4,True,False,True,True,False,True,True,False,True,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,OK
TV,Manga,11,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,False,False,False,False,True,False,True,False,Really good
TV,Novel,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,True,True,True,True,False,False,False,Really good
TV,Light novel,24,21-30,PG-13 - Teens 13 or older,Sunrise,4,True,False,True,False,False,True,False,False,False,False,Really good
TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,True,False,True,False,False,False,Really good
TV,Manga,23,21-30,PG-13 - Teens 13 or older,J.C.Staff,4,True,False,True,False,True,False,True,False,True,False,Really good
TV,Manga,13,21-30,PG-13 - Teens 13 or older,TMS Entertainment,2,True,False,True,False,False,True,True,False,False,False,Really good
TV,Manga,70,21-30,PG - Children,Madhouse,3,True,False,True,True,True,True,True,False,False,False,Really good
TV,Manga,78,21-30,G - All Ages,J.C.Staff,1,False,False,True,False,False,True,True,False,False,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,Production I.G,3,True,False,True,False,True,False,False,False,False,False,Really good
TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,5,True,False,True,False,True,False,True,False,False,False,Really good
TV,Original,12,21-30,G - All Ages,Studio Deen,2,True,False,True,False,False,True,True,False,False,False,OK
TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,5,True,False,True,False,True,False,True,False,False,False,Really good
TV,Visual novel,25,21-30,PG-13 - Teens 13 or older,other,4,True,False,True,False,True,True,True,False,True,False,Really good
TV,Manga,13,21-30,R - 17+ (violence & profanity),TMS Entertainment,2,False,False,True,True,False,True,False,False,False,False,Really good
TV,Unknown,26,1-20,PG-13 - Teens 13 or older,other,0,True,False,True,False,True,False,True,False,True,False,Questionable
Music,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,True,False,Bad
TV,Unknown,200,1-20,PG - Children,other,0,False,False,True,True,False,True,True,False,False,False,Bad
OVA,Unknown,1,31-59,G - All Ages,Sunrise,1,False,False,False,True,False,True,False,True,False,False,Bad
OVA,Original,1,21-30,R - 17+ (violence & profanity),other,2,False,False,True,True,True,False,False,False,False,False,Really good
OVA,Unknown,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,False,False,True,False,True,True,False,False,Bad
TV,Novel,45,21-30,PG-13 - Teens 13 or older,Studio Pierrot,1,False,False,True,True,False,True,False,False,False,False,Really good
OVA,Visual novel,1,1-20,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,True,False,False,False,False,OK
ONA,Unknown,1,1-20,R - 17+ (violence & profanity),other,0,True,False,False,False,False,False,True,False,False,False,Bad
Special,Unknown,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,False,True,False,False,False,Questionable
TV,Manga,0,1-20,None,other,0,False,False,False,False,False,False,True,False,False,False,Bad
OVA,Manga,4,31-59,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,True,False,False,Really good
Special,Light novel,6,1-20,PG-13 - Teens 13 or older,other,1,False,False,False,False,False,False,True,False,False,False,Questionable
