title_japanese,type,source,episodes,duration,rating,studio,num_related,hentai/romance,sports,youth,adventure/psychological,drama,fantasy/sci-fi,comedy,military,misc,Unknown,class
妖狐×僕SS,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,2,True,False,True,False,False,True,True,False,False,False,Really good
瀬戸の花嫁,TV,Manga,26,21-30,PG-13 - Teens 13 or older,other,4,True,False,True,False,False,False,True,False,False,False,Really good
しゅごキャラ！！どきっ,TV,Manga,51,21-30,PG - Children,other,3,False,False,True,False,False,True,True,False,False,False,Really good
プリンセスチュチュ,TV,Original,38,1-20,PG-13 - Teens 13 or older,other,2,True,False,False,False,True,True,True,False,False,False,Really good
バクマン。,TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,True,False,True,False,False,False,Really good
夢色パティシエール,TV,Manga,50,21-30,G - All Ages,other,3,False,False,True,False,False,False,False,False,False,False,Really good
ウルトラマニアック,TV,Manga,26,21-30,G - All Ages,other,2,True,False,True,False,False,True,True,False,False,False,Really good
灼眼のシャナII –Second–,TV,Light novel,24,21-30,PG-13 - Teens 13 or older,J.C.Staff,4,True,False,True,False,True,True,False,False,False,False,Really good
のだめカンタービレ 巴里編,TV,Manga,11,21-30,PG-13 - Teens 13 or older,J.C.Staff,5,True,False,True,False,False,False,True,False,True,False,Really good
桜蘭高校ホスト部,TV,Manga,26,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,Really good
純情ロマンチカ2(に),TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,3,True,False,True,False,True,False,True,False,False,False,Really good
会長はメイド様!,TV,Manga,26,21-30,PG-13 - Teens 13 or older,J.C.Staff,2,True,False,True,False,False,False,True,False,False,False,Really good
世界一初恋 2,TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,2,True,False,True,False,True,False,True,False,False,False,Really good
となりの怪物くん,TV,Manga,13,21-30,PG-13 - Teens 13 or older,other,2,True,False,True,False,False,False,True,False,False,False,Really good
BLEACH - ブリーチ -,TV,Manga,366,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,False,False,True,True,False,True,True,False,False,False,Really good
ちょびっツ,TV,Manga,26,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,False,True,False,True,True,True,False,False,False,Really good
君に届け,TV,Manga,25,21-30,PG-13 - Teens 13 or older,Production I.G,3,True,False,True,False,True,False,False,False,False,False,Really good
ナルト- 疾風伝,TV,Manga,500,21-30,PG-13 - Teens 13 or older,Studio Pierrot,6,False,True,True,True,False,False,True,False,False,False,Really good
らんま1/2,TV,Manga,161,21-30,R+ - Mild Nudity,Studio Deen,4,False,True,True,False,False,True,True,False,False,False,Really good
とらドラ！,TV,Light novel,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,False,False,True,False,False,False,Really good
バクマン。2ndシーズン,TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,5,True,False,True,False,True,False,True,False,False,False,Really good
学園アリス,TV,Manga,26,21-30,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Really good
スキップ・ビート！,TV,Manga,25,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,True,False,True,False,False,False,Really good
ちはやふる 2,TV,Manga,25,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,True,True,False,True,True,False,False,False,False,Really good
少年陰陽師,TV,Light novel,26,21-30,PG-13 - Teens 13 or older,Studio Deen,1,False,False,True,False,False,True,False,False,True,False,Really good
ちはやふる,TV,Manga,25,21-30,PG-13 - Teens 13 or older,Madhouse,2,True,True,True,False,True,True,False,False,False,False,Really good
イタズラなKiss,TV,Manga,25,21-30,PG-13 - Teens 13 or older,TMS Entertainment,1,True,False,True,False,False,False,True,False,False,False,Really good
べるぜバブ,TV,Manga,60,21-30,PG-13 - Teens 13 or older,other,3,False,False,True,False,False,True,True,False,False,False,Really good
花咲ける青少年,TV,Manga,39,21-30,PG-13 - Teens 13 or older,Studio Pierrot,2,True,False,True,False,True,False,False,False,False,False,Really good
スケットダンス,TV,Manga,77,21-30,PG-13 - Teens 13 or older,other,5,False,False,True,False,False,False,True,False,False,False,Really good
B型H系,TV,4-koma manga,12,21-30,R+ - Mild Nudity,other,1,True,False,True,False,False,False,True,False,False,False,Really good
クレヨンしんちゃん,TV,Manga,0,21-30,PG - Children,other,4,True,False,True,False,False,False,True,False,False,False,Really good
フルーツバスケット,TV,Manga,26,21-30,PG-13 - Teens 13 or older,Studio Deen,1,True,False,True,False,True,True,True,False,False,False,Really good
彩雲国物語,TV,Light novel,39,21-30,PG-13 - Teens 13 or older,Madhouse,3,True,False,False,True,True,True,True,False,True,False,Really good
ONE PIECE,TV,Manga,0,21-30,PG-13 - Teens 13 or older,Toei Animation,6,False,False,True,True,True,True,True,False,False,False,Really good
ガラスの仮面 (2005),TV,Manga,51,21-30,G - All Ages,other,3,False,False,True,False,True,False,False,False,False,False,Really good
エア・ギア,TV,Manga,25,21-30,R+ - Mild Nudity,Toei Animation,3,True,True,True,False,False,False,True,False,False,False,Really good
彩雲国物語 第2シリーズ,TV,Light novel,39,21-30,PG-13 - Teens 13 or older,Madhouse,2,True,False,False,True,True,True,True,False,True,False,Really good
犬夜叉,TV,Manga,167,21-30,PG-13 - Teens 13 or older,Sunrise,4,True,False,True,True,False,True,True,False,True,False,Really good
ちゅーぶら!!,TV,Manga,12,21-30,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,False,True,False,False,False,OK
のだめカンタービレ フィナーレ,TV,Manga,11,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,False,False,False,False,True,False,True,False,Really good
ゴーストハント,TV,Novel,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,1,False,False,True,True,True,True,True,False,False,False,Really good
アクセル・ワールド,TV,Light novel,24,21-30,PG-13 - Teens 13 or older,Sunrise,4,True,False,True,False,False,True,False,False,False,False,Really good
バクマン。,TV,Manga,25,21-30,PG-13 - Teens 13 or older,J.C.Staff,3,True,False,True,False,True,False,True,False,False,False,Really good
のだめカンタービレ,TV,Manga,23,21-30,PG-13 - Teens 13 or older,J.C.Staff,4,True,False,True,False,True,False,True,False,True,False,Really good
神様はじめました,TV,Manga,13,21-30,PG-13 - Teens 13 or older,TMS Entertainment,2,True,False,True,False,False,True,True,False,False,False,Really good
カードキャプターさくら,TV,Manga,70,21-30,PG - Children,Madhouse,3,True,False,True,True,True,True,True,False,False,False,Really good
だぁ! だぁ! だぁ!,TV,Manga,78,21-30,G - All Ages,J.C.Staff,1,False,False,True,False,False,True,True,False,False,False,Really good
君に届け 2ND SEASON,TV,Manga,12,21-30,PG-13 - Teens 13 or older,Production I.G,3,True,False,True,False,True,False,False,False,False,False,Really good
世界一初恋 TV,TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,5,True,False,True,False,True,False,True,False,False,False,Really good
CODE-E,TV,Original,12,21-30,G - All Ages,Studio Deen,2,True,False,True,False,False,True,True,False,False,False,OK
純情ロマンチカ,TV,Manga,12,21-30,PG-13 - Teens 13 or older,Studio Deen,5,True,False,True,False,True,False,True,False,False,False,Really good
金色のコルダ ～primo passo～,TV,Visual novel,25,21-30,PG-13 - Teens 13 or older,other,4,True,False,True,False,True,True,True,False,True,False,Really good
ディー・グレイマン ハロー,TV,Manga,13,21-30,R - 17+ (violence & profanity),TMS Entertainment,2,False,False,True,True,False,True,False,False,False,False,Really good
戦国☆パラダイス-極-（きわみ）,TV,Unknown,26,1-20,PG-13 - Teens 13 or older,other,0,True,False,True,False,True,False,True,False,True,False,Questionable
ぼくはくま,Music,Original,1,1-20,G - All Ages,other,0,False,False,True,False,False,False,False,False,True,False,Bad
パラソルヘンべえ,TV,Unknown,200,1-20,PG - Children,other,0,False,False,True,True,False,True,True,False,False,False,Bad
銀河漂流バイファム 消えた12人,OVA,Unknown,1,31-59,G - All Ages,Sunrise,1,False,False,False,True,False,True,False,True,False,False,Bad
スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者,OVA,Original,1,21-30,R - 17+ (violence & profanity),other,2,False,False,True,True,True,False,False,False,False,False,Really good
酎ハイれもんLOVE30S 雨にぬれても,OVA,Unknown,1,31-59,PG-13 - Teens 13 or older,other,0,True,False,False,False,True,False,True,True,False,False,Bad
十二国記,TV,Novel,45,21-30,PG-13 - Teens 13 or older,Studio Pierrot,1,False,False,True,True,False,True,False,False,False,False,Really good
DIABOLIK LOVERS OAD,OVA,Visual novel,1,1-20,PG-13 - Teens 13 or older,other,1,True,False,True,False,False,True,False,False,False,False,OK
Tuzki: LOVE ASSASSIN,ONA,Unknown,1,1-20,R - 17+ (violence & profanity),other,0,True,False,False,False,False,False,True,False,False,False,Bad
ルパン三世 ルパン一家勢揃い,Special,Unknown,1,1-20,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,False,True,False,False,False,Questionable
ネコこのゴロ,TV,Manga,0,1-20,None,other,0,False,False,False,False,False,False,True,False,False,False,Bad
青の6号,OVA,Manga,4,31-59,PG-13 - Teens 13 or older,other,1,False,False,True,True,False,True,False,True,False,False,Really good
ベン・トー,Special,Light novel,6,1-20,PG-13 - Teens 13 or older,other,1,False,False,False,False,False,False,True,False,False,False,Questionable
合身戦隊メカンダーロボ,TV,Unknown,35,21-30,PG-13 - Teens 13 or older,other,0,False,False,False,True,False,True,False,True,False,False,Bad
星界の紋章 総集編,Special,Light novel,1,60+,PG-13 - Teens 13 or older,Sunrise,1,True,False,True,False,False,True,False,True,False,False,OK
テガミバチ学園,Special,Original,25,1-20,PG-13 - Teens 13 or older,Studio Pierrot,1,False,False,False,False,False,False,True,False,False,False,OK
おにくだいすき! ゼウシくん「すてきなハンバーグ」,ONA,Original,1,1-20,G - All Ages,other,1,False,False,False,False,False,False,True,False,False,False,Bad
侍霊演武[ソウルバスター],TV,Manga,12,1-20,PG-13 - Teens 13 or older,Studio Pierrot,0,False,False,True,False,False,False,False,False,True,False,Questionable
ジオニックフロント 機動戦士ガンダム0079,Special,Unknown,1,1-20,PG-13 - Teens 13 or older,Sunrise,1,False,False,False,False,False,False,False,True,False,False,Bad
ナヌムの家,Movie,Other,1,60+,PG - Children,other,0,False,False,False,False,True,False,False,False,True,False,Bad
デス・ビリヤード,Movie,Original,1,21-30,R - 17+ (violence & profanity),Madhouse,2,False,False,False,True,True,True,False,False,False,False,Really good
FAKE STYLE II,Music,Music,1,1-20,PG - Children,other,1,False,False,False,False,False,False,False,False,True,False,Bad
ライブオン CARDLIVER 翔,TV,Manga,51,21-30,PG - Children,TMS Entertainment,0,False,False,False,False,False,True,False,False,False,False,Questionable
ゲゲゲの鬼太郎 最強妖怪軍団！日本陸!!,Movie,Unknown,1,31-59,G - All Ages,Toei Animation,1,False,False,False,True,True,True,True,False,False,False,Bad
トリアージX,TV,Manga,10,21-30,R+ - Mild Nudity,other,2,True,False,True,True,False,False,False,False,False,False,OK
深海の艦隊 サブマリン707,OVA,Manga,1,31-59,None,other,2,False,False,True,True,False,True,False,True,False,False,Bad
電車かもしれない,Music,Music,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,True,False,Bad
イリオンとカリシア,Movie,Original,1,1-20,None,other,0,False,False,True,False,False,True,False,False,False,False,Bad
七つの美徳,TV,Other,10,1-20,R+ - Mild Nudity,other,2,True,False,False,False,False,True,False,False,False,False,Questionable
METROPOLIS,Movie,Unknown,1,1-20,G - All Ages,other,0,False,False,False,False,False,False,False,False,False,True,Bad
灰と幻想のグリムガル 「風呂の壁にかけた青春――one more センチメートル」,Special,Light novel,1,1-20,PG-13 - Teens 13 or older,other,2,False,False,False,False,False,False,True,False,False,False,OK
目玉焼きの黄身 いつつぶす？,Special,Manga,4,1-20,G - All Ages,other,1,False,False,True,False,False,False,True,False,False,False,Bad
世界名作劇場・完結版 私のあしながおじさん,Special,Unknown,2,31-59,G - All Ages,Nippon Animation,1,True,False,True,False,False,False,True,False,False,False,Bad
劇場版デュエル・マスターズ 闇の城の魔龍凰[カース・オブ・ザ・デスフェニックス],Movie,Original,1,31-59,PG - Children,other,1,False,False,True,True,False,False,False,False,False,False,Bad
バウンティドッグ~月面のイブ~,OVA,Original,2,21-30,R - 17+ (violence & profanity),other,0,False,False,True,False,False,True,False,False,False,False,Questionable
